id,description,icd
8509,DURING ENDOSCOPIC EXAMINATION,7213
8510,DURING HEART CATHETERIZATION,7213
8511,DURING ASPIRATION PUNCTURE AND OTHER CATHETERIZATION,7213
8512,DURING ADMINISTRATION OF ENEMA,7213
8513,DURING OTHER SURGICAL AND MEDICAL CARE,7213
8514,DURING UNSPECIFIED SURGICAL AND MEDICAL CARE,7213
8515,FOREIGN OBJECT ACCIDENTALLY LEFT IN BODY DURING SURGICAL AND MEDICAL CARE,7213
8516,DURING REMOVAL OF CATHETER OR PACKING,7213
8517,FAILURE OF STERILE PRECAUTIONS DURING SURGICAL AND MEDICAL CARE,7213
8518,FAILURE IN DOSAGE DURING SURGICAL AND MEDICAL CARE,7213
8519,EXCESSIVE AMOUNT OF BLOOD OR OTHER FLUID GIVEN DURING TRANSFUSION OR INFUSION,7213
8520,INCORRECT DILUTION OF FLUID USED DURING INFUSION,7213
8521,OVERDOSE OF RADIATION GIVEN DURING THERAPY,7213
8522,INADVERTENT EXPOSURE OF PATIENT TO RADIATION DURING MEDICAL CARE,7213
8523,FAILURE IN DOSAGE IN ELECTROSHOCK OR INSULIN SHOCK THERAPY,7213
8524,INAPPROPRIATE TEMPERATURE IN LOCAL APPLICATION AND PACKING,7213
8525,NONADMINISTRATION OF NECESSARY DRUG MEDICAMENT OR BIOLOGICAL SUBSTANCE,7213
8526,FAILURE IN DOSAGE DURING OTHER SURGICAL AND MEDICAL CARE,7213
8527,FAILURE IN DOSAGE DURING UNSPECIFIED SURGICAL AND MEDICAL CARE,7213
8528,CONTAMINATED MEDICAL OR BIOLOGICAL SUBSTANCES,7213
8529,CONTAMINATED MEDICAL OR BIOLOGICAL SUBSTANCE TRANSFUSED OR INFUSED,7213
8530,CONTAMINATED MEDICAL OR BIOLOGICAL SUBSTANCE INJECTED OR USED FOR IMMUNIZATION,7213
8531,CONTAMINATED MEDICAL OR BIOLOGICAL SUBSTANCE ADMINISTERED BY OTHER MEANS,7213
8532,CONTAMINATED MEDICAL OR BIOLOGICAL SUBSTANCE ADMINISTERED BY UNSPECIFIED MEANS,7213
8533,OTHER MISADVENTURES DURING SURGICAL AND MEDICAL CARE,7213
8534,MISMATCHED BLOOD USED IN TRANSFUSION,7213
8535,WRONG FLUID USED IN INFUSION,7213
8536,FAILURE IN SUTURE OR LIGATURE DURING SURGICAL OPERATION,7213
8537,ENDOTRACHEAL TUBE WRONGLY PLACED DURING ANAESTHETIC PROCEDURE,7213
8538,FAILURE TO INTRODUCE OR TO REMOVE OTHER TUBE OR INSTRUMENT,7213
8539,PERFORMANCE OF INAPPROPRIATE OPERATION,7213
8540,OTHER SPECIFIED MISADVENTURES DURING SURGICAL AND MEDICAL CARE,7213
8541,NONADMINISTRATION OF SURGICAL AND MEDICAL CARE,7213
8542,UNSPECIFIED MISADVENTURE DURING SURGICAL AND MEDICAL CARE,7213
8543,ANAESTHESIOLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8544,ANAESTHESIOLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8545,ANAESTHESIOLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8546,ANAESTHESIOLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8547,ANAESTHESIOLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8548,ANAESTHESIOLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8549,CARDIOVASCULAR DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8550,CARDIOVASCULAR DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8551,CARDIOVASCULAR DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8552,CARDIOVASCULAR DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8553,CARDIOVASCULAR DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8554,CARDIOVASCULAR DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8555,OTORHINOLARYNGOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8556,OTORHINOLARYNGOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8557,OTORHINOLARYNGOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8558,OTORHINOLARYNGOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8559,OTORHINOLARYNGOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8560,OTORHINOLARYNGOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8561,GASTROENTEROLOGY AND UROLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8562,GASTROENTEROLOGY AND UROLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8563,GASTROENTEROLOGY AND UROLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8564,GASTROENTEROLOGY AND UROLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8565,GASTROENTEROLOGY AND UROLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8566,GASTROENTEROLOGY AND UROLOGY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8567,GENERAL HOSPITAL AND PERSONAL USE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8568,GENERAL HOSPITAL AND PERSONAL USE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8569,GENERAL HOSPITAL AND PERSONAL USE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8570,GENERAL HOSPITAL AND PERSONAL USE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8571,GENERAL HOSPITAL AND PERSONAL USE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8572,GENERAL HOSPITAL AND PERSONAL USE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8573,NEUROLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8574,NEUROLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8575,NEUROLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8576,NEUROLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8577,NEUROLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8578,NEUROLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8579,OBSTETRIC AND GYNAECOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8580,OBSTETRIC AND GYNAECOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8581,OBSTETRIC AND GYNAECOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8582,OBSTETRIC AND GYNAECOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8583,OBSTETRIC AND GYNAECOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8584,OBSTETRIC AND GYNAECOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8585,OPHTHALMIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8586,OPHTHALMIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8587,OPHTHALMIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8588,OPHTHALMIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8589,OPHTHALMIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8590,OPHTHALMIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8591,RADIOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8592,RADIOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8593,RADIOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8594,RADIOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8595,RADIOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8596,RADIOLOGICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8597,ORTHOPAEDIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8598,ORTHOPAEDIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8599,ORTHOPAEDIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8600,ORTHOPAEDIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8601,ORTHOPAEDIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8602,ORTHOPAEDIC DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8603,PHYSICAL MEDICINE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8604,PHYSICAL MEDICINE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8605,PHYSICAL MEDICINE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8606,PHYSICAL MEDICINE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8607,PHYSICAL MEDICINE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8608,PHYSICAL MEDICINE DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8609,GENERAL AND PLASTIC SURGERY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8610,GENERAL AND PLASTIC SURGERY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8611,GENERAL AND PLASTIC SURGERY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8612,GENERAL AND PLASTIC SURGERY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8613,GENERAL AND PLASTIC SURGERY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8614,GENERAL AND PLASTIC SURGERY DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8615,OTHER AND UNSPECIFIED MEDICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS,7213
8616,OTHER AND UNSPECIFIED MEDICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS DIAGNOSTIC AND MONITORING DEVICES,7213
8617,OTHER AND UNSPECIFIED MEDICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS THERAPEUTIC NONSURGICAL AND REHABILITATIVE DEVICES,7213
8618,OTHER AND UNSPECIFIED MEDICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS PROSTHETIC AND OTHER IMPLANTS MATERIALS AND ACCESSORY DEVICES,7213
8619,OTHER AND UNSPECIFIED MEDICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS SURGICAL INSTRUMENTS MATERIALS AND DEVICES INCLUDING SUTURES,7213
8620,OTHER AND UNSPECIFIED MEDICAL DEVICES ASSOCIATED WITH ADVERSE INCIDENTS MISCELLANEOUS DEVICES NOT ELSEWHERE CLASSIFIED,7213
8621,SURGICAL OPERATION AND OTHER SURGICAL PROCEDURES AS THE CAUSE OF ABNORMAL REACTION OF THE PATIENT OR OF LATER COMPLICATION WITHOUT MENTION OF MISADVENTURE AT THE TIME OF THE PROCEDURE,7213
8622,SURGICAL OPERATION WITH TRANSPLANT OF WHOLE ORGAN,7213
8623,SURGICAL OPERATION WITH IMPLANT OF ARTIFICIAL INTERNAL DEVICE,7213
8624,SURGICAL OPERATION WITH ANASTOMOSIS BYPASS OR GRAFT,7213
8625,SURGICAL OPERATION WITH FORMATION OF EXTERNAL STOMA,7213
8626,OTHER RECONSTRUCTIVE SURGERY,7213
8627,AMPUTATION OF LIMB S,7213
8628,REMOVAL OF OTHER ORGAN PARTIAL TOTAL,7213
8629,OTHER SURGICAL PROCEDURES,7213
8630,SURGICAL PROCEDURE UNSPECIFIED,7213
8631,OTHER MEDICAL PROCEDURES AS THE CAUSE OF ABNORMAL REACTION OF THE PATIENT OR OF LATER COMPLICATION WITHOUT MENTION OF MISADVENTURE AT THE TIME OF THE PROCEDURE,7213
8632,CARDIAC CATHETERIZATION,7213
8633,KIDNEY DIALYSIS,7213
8634,RADIOLOGICAL PROCEDURE AND RADIOTHERAPY,7213
8635,SHOCK THERAPY,7213
8636,ASPIRATION OF FLUID,7213
8637,INSERTION OF GASTRIC OR DUODENAL SOUND,7213
8638,URINARY CATHETERIZATION,7213
8639,BLOOD SAMPLING,7213
8640,OTHER MEDICAL PROCEDURES,7213
8641,MEDICAL PROCEDURE UNSPECIFIED,7213
8642,SEQUELAE OF TRANSPORT ACCIDENTS,7213
8643,SEQUELAE OF MOTOR VEHICLE ACCIDENT,7213
8644,SEQUELAE OF OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS,7213
8645,SEQUELAE OF OTHER ACCIDENTS,7213
8646,SEQUELAE OF INTENTIONAL SELF HARM ASSAULT AND EVENTS OF UNDETERMINED INTENT,7213
8647,SEQUELAE OF INTENTIONAL SELF HARM,7213
8648,SEQUELAE OF ASSAULT,7213
8649,SEQUELAE OF EVENTS OF UNDETERMINED INTENT,7213
8650,SEQUELAE WITH SURGICAL AND MEDICAL CARE AS EXTERNAL CAUSE,7213
8651,SEQUELAE OF ADVERSE EFFECTS CAUSED BY DRUGS MEDICAMENTS AND BIOLOGICAL SUBSTANCES IN THERAPEUTIC USE,7213
8652,SEQUELAE OF MISADVENTURES TO PATIENTS DURING SURGICAL AND MEDICAL PROCEDURES,7213
8653,SEQUELAE OF ADVERSE INCIDENTS ASSOCIATED WITH MEDICAL DEVICES IN DIAGNOSTIC AND THERAPEUTIC USE,7213
8654,SEQUELAE OF SURGICAL AND MEDICAL PROCEDURES AS THE CAUSE OF ABNORMAL REACTION OF THE PATIENT OR OF LATER COMPLICATION WITHOUT MENTION OF MISADVENTURE AT THE TIME OF THE PROCEDURE,7213
8655,SEQUELAE OF OTHER EXTERNAL CAUSES,7213
8656,SEQUELAE OF LEGAL INTERVENTION,7213
8657,SEQUELAE OF WAR OPERATIONS,7213
8658,SEQUELAE OF UNSPECIFIED EXTERNAL CAUSE,7213
8659,EVIDENCE OF ALCOHOL INVOLVEMENT DETERMINED BY BLOOD ALCOHOL LEVEL,7213
8660,BLOOD ALCOHOL LEVEL OF LESS THAN 20 MG 100 ML,7213
8661,BLOOD ALCOHOL LEVEL OF 20 39 MG 100 ML,7213
8662,BLOOD ALCOHOL LEVEL OF 40 59 MG 100 ML,7213
8663,BLOOD ALCOHOL LEVEL OF 60 79 MG 100 ML,7213
8664,BLOOD ALCOHOL LEVEL OF 80 99 MG 100 ML,7213
8665,BLOOD ALCOHOL LEVEL OF 100 119 MG 100 ML,7213
8666,BLOOD ALCOHOL LEVEL OF 120 199 MG 100 ML,7213
8667,BLOOD ALCOHOL LEVEL OF 200 239 MG 100 ML,7213
8668,BLOOD ALCOHOL LEVEL OF 240 MG 100 ML OR MORE,7213
8669,PRESENCE OF ALCOHOL IN BLOOD LEVEL NOT SPECIFIED,7213
8670,EVIDENCE OF ALCOHOL INVOLVEMENT DETERMINED BY LEVEL OF INTOXICATION,7213
8671,MILD ALCOHOL INTOXICATION,7213
8672,MODERATE ALCOHOL INTOXICATION,7213
8673,SEVERE ALCOHOL INTOXICATION,7213
8674,VERY SEVERE ALCOHOL INTOXICATION,7213
8675,ALCOHOL INVOLVEMENT NOT OTHERWISE SPECIFIED,7213
8676,NOSOCOMIAL CONDITION,7213
8677,WORK RELATED CONDITION,7213
8678,ENVIRONMENTAL POLLUTION RELATED CONDITION,7213
8679,LIFESTYLE RELATED CONDITION,7213
8680,PNEUMONIA,3591
8681,ISCHAEMIC HEART DISEASE,3232
8682,ACUTE MYOCARDIAL INFARCTION,3207
8683,HYPERTENSIVE HEART DISEASE,3186
8684,MULTIPLE INJURIES,7213
8685,CORONARY ARTERY DISEASE,3225
8686,METASTATIC LUNG CANCER,926
8687,LUNG CANCER,926
8688,HEPATOCELLULAR CARCINOMA,882
8689,METASTATIC BREAST CANCER,1012
8690,LUNG CARCINOMA,926
8691,STROKE,3388
8692,ISCHEMIC HEART DISEASE,3232
8693,HEAD INJURY,7213
8694,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3666
8695,END STAGE RENAL FAILURE,5191
8696,HANGING,7213
8697,URINARY TRACT INFECTION,5258
8698,METASTATIC COLON CANCER,875
8699,COLON CARCINOMA,875
8700,UROSEPSIS,5258
8701,METASTATIC PANCREATIC CANCER,901
8702,CHRONIC ISCHAEMIC HEART DISEASE,3232
8703,COLON CANCER,875
8704,PANCREATIC CANCER,901
8705,METASTATIC LUNG CARCINOMA,926
8706,BRONCHOPNEUMONIA,3587
8707,BREAST CANCER,1012
8708,MALIGNANT NEOPLASM OF BRONCHUS AND LUNG,926
8709,METASTATIC GASTRIC CANCER,859
8710,METASTATIC LUNG ADENOCARCINOMA,926
8711,CEREBROVASCULAR ACCIDENT,3388
8712,CHOLANGIOCARCINOMA,883
8713,METASTATIC PROSTATE CANCER,1045
8714,CEREBROVASCULAR STROKE,3388
8715,BREAST CARCINOMA,1012
8716,METASTATIC HEPATOCELLULAR CARCINOMA,882
8717,MALIGNANT NEOPLASM OF PANCREAS,901
8718,METASTATIC BREAST CARCINOMA,1012
8719,METASTATIC CHOLANGIOCARCINOMA,883
8720,MALIGNANT NEOPLASM OF COLON,875
8721,METASTATIC NON SMALL CELL LUNG CANCER,926
8722,METASTATIC RECTAL CANCER,877
8723,METASTATIC RENAL CELL CARCINOMA,1055
8724,MALIGNANT NEOPLASM OF BREAST,1012
8725,METASTATIC OVARIAN CANCER,1030
8726,CARCINOMA OF PANCREAS,901
8727,SPONTANEOUS INTRACRANIAL HAEMORRHAGE,3378
8728,DROWNING,7213
8729,DIFFUSE LARGE B CELL LYMPHOMA,1163
8730,NASOPHARYNGEAL CARCINOMA,833
8731,RENAL CELL CARCINOMA,1055
8732,STOMACH CANCER,859
8733,CONSISTENT WITH ATHEROSCLEROTIC CARDIOVASCULAR DISEASE,3224
8734,METASTATIC GASTRIC CARCINOMA,859
8735,INTRACEREBRAL HAEMORRHAGE,3375
8736,MALIGNANT NEOPLASM OF STOMACH,859
8737,ADVANCED LUNG CANCER,926
8738,ACUTE MYELOID LEUKEMIA,1197
8739,PROSTATE CANCER,1045
8740,METASTATIC PANCREATIC CARCINOMA,901
8741,CHRONIC OBSTRUCTIVE LUNG DISEASE,3666
8742,METASTATIC NASOPHARYNGEAL CARCINOMA,833
8743,GLIOBLASTOMA MULTIFORME,1093
8744,MYOCARDIAL INFARCTION,3207
8745,OVARIAN CANCER,1030
8746,METASTATIC COLON CARCINOMA,875
8747,HYPERTENSIVE HEART DISEASE CONTRIBUTED BY DIABETES MELLITUS,3186
8748,LIVER CANCER,888
8749,RUPTURED ABDOMINAL AORTIC ANEURYSM,3430
8750,GASTRIC CARCINOMA,859
8751,METASTATIC RECTAL CARCINOMA,877
8752,ISCHEMIC CARDIOMYOPATHY,3229
8753,PULMONARY EMBOLISM,3234
8754,RECTAL CANCER,877
8755,VALVULAR HEART DISEASE,3279
8756,METASTATIC SIGMOID CANCER,873
8757,GASTRIC CANCER,859
8758,CEREBROVASCULAR ACCIDENT STROKE,3388
8759,END STAGE KIDNEY DISEASE,5191
8760,ACUTE MYOCARDIAL INFARCT,3207
8761,METASTATIC COLORECTAL CANCER,877
8762,LYMPHOMA,1179
8763,ISCHAEMIC HEART DISEASE CONTRIBUTED BY DIABETES MELLITUS,3232
8764,METASTATIC NON SMALL CELL LUNG CARCINOMA,926
8765,SPONTANEOUS INTRACEREBRAL HAEMORRHAGE,3375
8766,METASTATIC CERVICAL CANCER,1022
8767,CARDIORESPIRATORY FAILURE PENDING FURTHER INVESTIGATIONS,7213
8768,SEPSIS DUE TO PNEUMONIA,3591
8769,PANCREATIC CARCINOMA,901
8770,SUBARACHNOID HAEMORRHAGE,3366
8771,BLADDER CANCER,1067
8772,ADVANCED HEPATOCELLULAR CARCINOMA,882
8773,CARCINOMA OF STOMACH,859
8774,METASTATIC BLADDER CANCER,1067
8775,ACUTE INTRACEREBRAL HAEMORRHAGE,3375
8776,CANCER OF UNKNOWN PRIMARY,1148
8777,METASTATIC ENDOMETRIAL CANCER,1024
8778,OSTEOMYELITIS,4985
8779,METASTATIC COLORECTAL CARCINOMA,877
8780,CARCINOMA OF PROSTATE GLAND,1045
8781,INTERSTITIAL LUNG DISEASE,3723
8782,METASTATIC CANCER OF UNKNOWN ORIGIN,1148
8783,CHRONIC KIDNEY DISEASE,5193
8784,METASTATIC PROSTATE CARCINOMA,1045
8785,ADVANCED PANCREATIC CANCER,901
8786,SPONTANEOUS SUBARACHNOID HAEMORRHAGE,3366
8787,METASTATIC RECTOSIGMOID CANCER,876
8788,METASTATIC OVARIAN CARCINOMA,1030
8789,METASTATIC GASTRIC ADENOCARCINOMA,859
8790,METASTATIC RECTAL ADENOCARCINOMA,877
8791,SPONTANEOUS INTRACRANIAL HEMORRHAGE,3378
8792,ENDOMETRIAL CANCER,1024
8793,UNASCERTAINED,7213
8794,CHRONIC LIVER CIRRHOSIS,4101
8795,METASTATIC CANCER OF UNKNOWN PRIMARY,1148
8796,RECTAL CARCINOMA,877
8797,HEPATOBILIARY SEPSIS,4139
8798,ACUTE MYOCARDITIS,3289
8799,GASTRIC ADENOCARCINOMA,859
8800,METASTATIC SIGMOID CARCINOMA,873
8801,CEREBROVASCULAR DISEASE,3411
8802,CARCINOMA OF RECTUM,877
8803,COLORECTAL CANCER,877
8804,CELLULITIS,4199
8805,ISCHAEMIC HEART DISEASE CONTRIBUTED BY HYPERTENSION,3232
8806,METASTATIC ADENOCARCINOMA OF LUNG,926
8807,MYELODYSPLASTIC SYNDROME,1501
8808,LUNG ADENOCARCINOMA,926
8809,MALIGNANT NEOPLASM OF NASOPHARYNX,833
8810,OVARIAN CARCINOMA,1030
8811,CARCINOMA OF OVARY,1030
8812,ACUTE SUBDURAL HAEMORRHAGE,7213
8813,COLORECTAL CARCINOMA,877
8814,PNEUMONIA ORGANISM UNSPECIFIED,3591
8815,INTRACRANIAL HAEMORRHAGE,3378
8816,CORONARY THROMBOSIS,3207
8817,METASTATIC SMALL CELL LUNG CANCER,926
8818,ADVANCED COLON CANCER,875
8819,SIGMOID COLON CANCER,873
8820,MALIGNANT NEOPLASM OF BRAIN,1093
8821,MIXED DRUG TOXICITY,7213
8822,MALIGNANT NEOPLASM OF OESOPHAGUS,850
8823,NON SMALL CELL LUNG CANCER,926
8824,SMALL CELL LUNG CANCER,926
8825,CORONARY ATHEROSCLEROSIS,3225
8826,ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3664
8827,CERVICAL CANCER,1022
8828,CARDIOMYOPATHY,3303
8829,ADVANCED BREAST CANCER,1012
8830,MYOCARDITIS,3348
8831,LIVER CIRRHOSIS,4101
8832,INFECTIVE ENDOCARDITIS,3257
8833,STROKE DISEASE,3388
8834,ACUTE EXACERBATION OF ASTHMA,3671
8835,CRANIO CEREBRAL INJURIES,7213
8836,METASTATIC NASOPHARYNGEAL CANCER,833
8837,METASTATIC SIGMOID COLON CANCER,873
8838,EXTENSIVE CRANIO CEREBRAL INJURIES,7213
8839,METASTATIC PANCREATIC ADENOCARCINOMA,901
8840,CARCINOMA OF OESOPHAGUS,850
8841,RUPTURED MYOCARDIAL INFARCTION,3207
8842,ISCHAEMIC HEART DISEASE WITH PNEUMONIA,3232
8843,METASTATIC SIGMOID ADENOCARCINOMA,873
8844,OTHER BACTERIAL PNEUMONIA J15 8,3578
8845,SPONTANEOUS INTRACEREBRAL HEMORRHAGE,3375
